city,hotel_name,rating
Marseille,Intercontinental Marseille,8.9
Marseille,Radisson Blu Marseille,8.5
Marseille,Hôtel La Résidence du Vieux Port,8.7
Marseille,Mercure Marseille Centre,8.1
Marseille,Ibis Marseille Vieux Port,7.6
Bordeaux,Intercontinental Bordeaux,9.2
Bordeaux,Yndo Hotel,9.4
Bordeaux,Mama Shelter Bordeaux,8.3
Bordeaux,Mercure Bordeaux Centre,8.0
Bordeaux,Ibis Bordeaux Centre,7.7
Paris,Hôtel Regina Louvre,9.0
Paris,Hôtel de Crillon,9.2
Paris,Hôtel Le Bristol,9.3
Paris,Hôtel Pullman Tour Eiffel,8.5
Paris,Hôtel Ibis Styles Bercy,7.9
Nantes,Radisson Blu Nantes,8.6
Nantes,Okko Hotels Nantes,8.4
Nantes,Mercure Nantes Centre,8.1
Nantes,Hôtel Pommeraye,8.3
Nantes,Ibis Nantes Centre,7.5
Nice,Hôtel Negresco,9.1
Nice,Hyatt Regency Nice,8.8
Nice,Le Méridien Nice,8.4
Nice,Apogia Nice,8.2
Nice,Hotel Villa Rivoli,8.6
