ville,hotel,note,adresse
Nice,Hôtel Negresco,9.1,37 Promenade des Anglais
Nice,Hyatt Regency Nice,8.8,223 Promenade des Anglais
Nice,Le Méridien Nice,8.4,1 Promenade des Anglais
Nice,Hôtel Suisse,8.2,15 Quai Rauba Capeu
Nice,Hôtel Villa Rivoli,8.6,10 rue de Rivoli
Paris,Hôtel Regina Louvre,9.0,2 place des Pyramides
Paris,Hôtel de Crillon,9.2,10 place de la Concorde
Paris,Le Bristol Paris,9.3,112 rue du Faubourg Saint-Honoré
Paris,Pullman Paris Tour Eiffel,8.5,18 avenue de Suffren
Paris,Hôtel du Louvre,8.7,Place André Malraux
Marseille,Intercontinental Marseille,8.9,1 Place Daviel
Marseille,Radisson Blu Marseille,8.5,38-40 Quai de Rive Neuve
Marseille,Hôtel La Résidence du Vieux Port,8.7,18 Quai du Port
Marseille,Mercure Marseille Centre,8.1,1 rue Neuve Saint Martin
Marseille,Hôtel Hermès,8.3,2 rue Bonneterie
